run,date(dd-mm),run type,Quality,Problem,Nevents (k),Edrift (V/cm),Eextraction (kV/cm),SiPM tension (V),gas pocket,laser intensity,trigger,trigtime (µs),post-trigger (µs),Time gate  (µs),PDM Coindidence,Threshold extent (ns),TPC pressure (mbarg),baseline from (samples),baseline to (samples),charge from (samples),charge to (samples),hit height cut (ADC),hit prominence cut (prominence),hit distance cut (samples),hit width cut (samples)
826,1-11,normal,bad,noise,4,0,,,ON,,400 ADC,,,,5,80,,,,,,,,,
829,1-11,normal,bad,noise,49,200,2.8,65,ON,,200 ADC,,,,5,80,,,,,,,,,
833,3-11,normal,good,,10,200,3.78,65,ON,,200 ADC,,,,5,80,,,,,,,,,
834,3-11,normal,good,,10,200,0,65,ON,,200 ADC,,,,5,80,,,,,,,,,
835,3-11,normal,good,,10,0,0,65,ON,,200 ADC,,,,5,80,,,,,,,,,
865,5-11,normal,good,,10,200,2.8,65,ON,,1000 ADC,100,100,200,5,80,300,,,,,,,,
873,5-11,normal,good,,10,500,3.78,65,ON,,1600 ADC,100,100,200,5,80,>200,,,,,,,,
875,5-11,normal,good,,10,0,0,65,ON,,1600 ADC,100,100,200,5,80,>200,,,,,,,,
877,5-11,normal,good,,10,200,2.8,65,ON,,1600 ADC,100,100,200,5,80,>200,,,,,,,,
885,5-11,baseline run,good,,,200,2.8,65,ON,,external (50 Hz),100,400,500,,80,>450,,,,,,,,
886,5-11,baseline run,good,,,200,2.8,50,ON,,external (50 Hz),100,400,500,,80,>450,,,,,,,,
888,5-11,laser run,good,,,200,2.8,65,ON,MAX,"external (500 Hz, laser at 1 kHz)",100,400,500,,80,,,,,,,,,
889,5-11,laser run,good,,,200,2.8,67,ON,MAX,"external (500 Hz, laser at 1 kHz)",5,7,12,,80,,,,,,,,,
891,5-11,laser run,good,,,200,2.8,67,ON,MIN,"external (500 Hz, laser at 1 kHz)",5,7,12,,80,,,,,,,,,
893,5-11,laser run,good,,,200,2.8,65,ON,MAX,"external (500 Hz, laser at 1 kHz)",5,25,30,,80,,,,,,,,,
892,5-11,laser run,good,,,200,2.8,65,ON,MIN,"external (500 Hz, laser at 1 kHz)",5,7,12,,80,,,,,,,,,
894,5-11,laser run,good,,,200,2.8,67,ON,MAX,"external (500 Hz, laser at 1 kHz)",5,25,30,,80,,,,,,,,,
898,5-11,normal,good,,,200,2.8,65,OFF,,400 ADC,100,100,200,5,80,>400,,,,,,,,
899,5-11,normal,good,,,100,2.8,65,OFF,,400 ADC,100,100,200,5,80,,,,,,,,,
900,5-11,normal,good,,,500,2.8,65,OFF,,400 ADC,100,100,200,5,80,,,,,,,,,
917,6-11,monitoring,good,,10,200,2.8,65,ON (7 mm),,1600 ADC,100,100,200,5,80,>200,,,,,,,,
918,6-11,monitoring,good,,10,200,3.78,65,ON (7 mm),,1600 ADC,100,100,200,5,80,>200,,,,,,,,
919,6-11,monitoring,good,,10,500,3.78,65,ON (7 mm),,1600 ADC,100,100,200,5,80,>200,,,,,,,,
920,6-11,monitoring,good,,10,0,0,65,ON (7 mm),,1600 ADC,100,100,200,5,80,>200,,,,,,,,
943,6-11,normal,not sure,Elog 89,10,200,3.78,65,ON (7 mm),,2699 ADC,100,100,200,5,80,>200,,,,,,,,
945,6-11,normal,not sure,Elog 89,10,200,3.78,65,ON (7 mm),,2699 ADC,100,100,200,5,80,>200,,,,,,,,
946,6-11,normal,not sure,Elog 89,10,200,2.8,65,ON (7 mm),,2699 ADC,100,100,200,5,80,>200,,,,,,,,
948,6-11,normal,not sure,Elog 89,10,200,2.8,65,ON (7 mm),,2699 ADC,100,100,200,5,80,>200,,,,,,,,
949,6-11,normal,not sure,Elog 89,10,500,3.78,65,ON (7 mm),,2699 ADC,100,100,200,5,80,>200,,,,,,,,
951,6-11,normal,not sure,Elog 89,10,500,3.78,65,ON (7 mm),,2699 ADC,100,100,200,5,80,>200,,,,,,,,
952,6-11,normal,not sure,Elog 89,10,0,0,65,ON (7 mm),,2699 ADC,100,100,200,5,80,>200,,,,,,,,
954,6-11,normal,not sure,Elog 89,10,0,0,65,ON (7 mm),,2699 ADC,100,100,200,5,80,>200,,,,,,,,
956,7-11,monitoring,good,,10,200,2.8,65,ON (7 mm),,1000 ADC,100,100,200,5,80,>200,,,,,,,,
957,7-11,monitoring,good,,10,200,3.78,65,ON (7 mm),,1000 ADC,100,100,200,5,80,>200,,,,,,,,
958,7-11,monitoring,good,,10,500,3.78,65,ON (7 mm),,1000 ADC,100,100,200,5,80,>200,,,,,,,,
960,7-11,monitoring,good,,10,500,3.78,65,ON (7 mm),,200 ADC,100,100,200,5,80,>200,,,,,,,,
961,7-11,monitoring,good,,10,0,0,65,ON (7 mm),,1000 ADC,100,100,200,5,80,>200,,,,,,,,
963,7-11,laser run,good,,100,,,65,,MAX,external clock (laser set to 1 kHz),5,7,30,,80,>200,,,,,,,,
964,7-11,laser run,good,,100,,,65,,MAX,external clock (laser set to 1 kHz),5,25,30,,80,>200,,,,,,,,
966,7-11,laser run,good,,100,,,65,,MIN,external clock (laser set to 1 kHz),5,25,30,,80,>200,,,,,,,,
973,8-11,monitoring,good,,10,200,3.78,65,ON (7 mm),,1000 ADC,100,100,200,5,80,222,,,,,,,,
974,8-11,monitoring,good,,10,500,3.78,65,ON (7 mm),,1000 ADC,100,100,200,5,80,222,,,,,,,,
975,8-11,monitoring,good,,10,200,2.8,65,ON (7 mm),,1000 ADC,100,100,200,5,80,222,,,,,,,,
976,8-11,monitoring,good,,10,0,0,65,ON (7 mm),,1000 ADC,100,100,200,5,80,222,,,,,,,,
978,8-11,laser run,good,,100,,,65,,MAX,external clock (laser set to 1 kHz),5,7,12,,80,,,,,,,,,
979,8-11,laser run,good,,100,,,65,,MIN,external clock (laser set to 1 kHz),5,7,12,,80,,,,,,,,,
995,8-11,monitoring,good,,10,200,2.8,65,ON (7 mm),,1000 ADC,100,100,200,5,80,290,,,,,,,,
996,8-11,monitoring,good,,10,200,3.78,65,ON (7 mm),,1000 ADC,100,100,200,5,80,240,,,,,,,,
997,8-11,monitoring,good,,10,500,3.78,65,ON (7 mm),,1000 ADC,100,100,200,5,80,240,,,,,,,,
998,8-11,monitoring,good,,10,0,0,65,ON (7 mm),,1000 ADC,100,100,200,5,80,240,,,,,,,,
999,9-11,monitoring,good,,10,200,2.8,65,ON (7 mm),,1000 ADC,100,100,200,5,80,233,,,,,,,,
1000,9-11,monitoring,good,,10,200,3.78,65,ON (7 mm),,1000 ADC,100,100,200,5,80,235,,,,,,,,
1001,9-11,monitoring,good,,10,500,3.78,65,ON (7 mm),,1000 ADC,100,100,200,5,80,238,,,,,,,,
1002,9-11,monitoring,good,,10,0,0,65,ON (7 mm),,1000 ADC,100,100,200,5,80,238,,,,,,,,
1003,9-11,laser run,bad,DAQ,?,,,65,,MIN,external clock (laser set to 1 kHz),5,7,12,,80,,,,,,,,,
1004,9-11,laser run,bad,DAQ,?,,,65,,MIN,external clock (laser set to 1 kHz),5,7,12,,80,,,,,,,,,
1016,9-11,monitoring,good,,10,0,0,65,ON (7 mm),,1000 ADC,100,100,200,5,80,201,,,,,,,,
1017,9-11,monitoring,good,,10,200,2.8,65,ON (7 mm),,1000 ADC,100,100,200,5,80,201,,,,,,,,
1018,9-11,monitoring,good,,10,200,3.78,65,ON (7 mm),,1000 ADC,100,100,200,5,80,217,,,,,,,,
1019,9-11,monitoring,good,,10,500,3.78,65,ON (7 mm),,1000 ADC,100,100,200,5,80,240,,,,,,,,
1020,9-11,laser run,good,,100,,,65,,MAX,external clock (laser set to 1 kHz),5,7,12,,80,,,,,,,,,
1021,9-11,laser run,good,,100,,,65,,MIN,external clock (laser set to 1 kHz),5,7,12,,80,,,,,,,,,
1022,10-11,monitoring,good,,10,500,3.78,65,ON (7 mm),,1000 ADC,100,100,200,5,80,159,,,,,,,,
1024,10-11,monitoring,good,,10,200,3.78,65,ON (7 mm),,1000 ADC,100,100,200,5,80,186,,,,,,,,
1025,10-11,monitoring,good,,10,200,2.8,65,ON (7 mm),,1000 ADC,100,100,200,5,80,207,,,,,,,,
1026,10-11,monitoring,good,,10,0,0,65,ON (7 mm),,1000 ADC,100,100,200,5,80,225,,,,,,,,
1028,10-11,laser run,good,,100,,,65,,MAX,external clock (laser set to 1 kHz),5,7,,,80,,,,,,,,,
1029,10-11,laser run,good,,100,,,65,,MIN,external clock (laser set to 1 kHz),5,7,,,80,,,,,,,,,
1032,10-11,s1,good,,50,500,3.78,65,OFF,,100 ADC,5,25,30,5,80,340,,,,,,,,
1033,10-11,s1,good,,50,500,3.78,65,OFF,,200 ADC,5,25,30,5,80,340,,,,,,,,
1034,10-11,s1,good,,50,500,3.78,65,OFF,,250 ADC,5,25,30,5,80,340,,,,,,,,
1035,10-11,s1,good,,50,500,3.78,65,OFF,,400 ADC,5,25,30,5,80,340,,,,,,,,
1036,10-11,s1,good,,50,500,3.78,65,OFF,,600 ADC,5,25,30,5,80,340,,,,,,,,
1037,10-11,s1,good,,50,500,3.78,65,OFF,,800 ADC,5,25,30,5,80,340,,,,,,,,
1038,10-11,s1,good,,50,500,3.78,65,OFF,,1000 ADC,5,25,30,5,80,340,,,,,,,,
